reactants,products
Br[c:1]1[cH:2][cH:3][c:4]2[c:5](=[O:6])[cH:7][c:8]([CH3:9])[n:10](-[c:11]3[cH:12][c:13]([NH:14][C:15](=[O:16])[O:17][C:18]([CH3:19])([CH3:20])[CH3:21])[c:22]([F:23])[cH:24][c:25]3[F:26])[c:27]2[cH:28]1.CC1(C)OB([c:29]2[c:30]([CH3:31])[n:32][o:33][c:34]2[CH3:35])OC1(C)C,[c:1]1(-[c:29]2[c:30]([CH3:31])[n:32][o:33][c:34]2[CH3:35])[cH:2][cH:3][c:4]2[c:5](=[O:6])[cH:7][c:8]([CH3:9])[n:10](-[c:11]3[cH:12][c:13]([NH:14][C:15](=[O:16])[O:17][C:18]([CH3:19])([CH3:20])[CH3:21])[c:22]([F:23])[cH:24][c:25]3[F:26])[c:27]2[cH:28]1
O[CH2:1][c:2]1[cH:3][cH:4][c:5]([O:6][CH2:7]/[C:8](=[N:9]\[O:10][CH3:11])[c:12]2[cH:13][cH:14][cH:15][cH:16][cH:17]2)[cH:18][cH:19]1.[CH3:20][CH2:21][CH2:22][CH:23]([CH2:24][C:25](=[O:26])[O:27][CH3:28])[c:29]1[cH:30][cH:31][c:32]([OH:33])[cH:34][cH:35]1,[CH2:1]([c:2]1[cH:3][cH:4][c:5]([O:6][CH2:7]/[C:8](=[N:9]\[O:10][CH3:11])[c:12]2[cH:13][cH:14][cH:15][cH:16][cH:17]2)[cH:18][cH:19]1)[O:33][c:32]1[cH:31][cH:30][c:29]([CH:23]([CH2:22][CH2:21][CH3:20])[CH2:24][C:25](=[O:26])[O:27][CH3:28])[cH:35][cH:34]1
Br[c:1]1[c:2]([N:3]2[CH2:4][CH2:5][C@@H:6]([OH:7])[CH2:8]2)[n:9][cH:10][c:11]([C:12](=[O:13])[NH:14][c:15]2[cH:16][cH:17][c:18]([O:19][C:20]([F:21])([F:22])[F:23])[cH:24][cH:25]2)[cH:26]1.CC1(C)OB([c:27]2[cH:28][n:29][c:30]([CH3:31])[s:32]2)OC1(C)C,[c:1]1(-[c:27]2[cH:28][n:29][c:30]([CH3:31])[s:32]2)[c:2]([N:3]2[CH2:4][CH2:5][C@@H:6]([OH:7])[CH2:8]2)[n:9][cH:10][c:11]([C:12](=[O:13])[NH:14][c:15]2[cH:16][cH:17][c:18]([O:19][C:20]([F:21])([F:22])[F:23])[cH:24][cH:25]2)[cH:26]1
CC(=O)O[C:2]([CH3:1])=[O:3].[NH2:4][C@@H:5]1[CH2:6][C@H:7]([CH2:8][OH:9])[N:10]([C:11]2=[N:12][C:13](=[O:14])[C:15](=[CH:16][c:17]3[cH:18][cH:19][c:20]4[c:21]([cH:22][n:23][n:24]4[CH2:25][c:26]4[cH:27][cH:28][c:29]([C:30]([F:31])([F:32])[F:33])[cH:34][c:35]4[C:36]([F:37])([F:38])[F:39])[cH:40]3)[S:41]2)[CH2:42]1,[CH3:1][C:2](=[O:3])[NH:4][C@@H:5]1[CH2:6][C@H:7]([CH2:8][OH:9])[N:10]([C:11]2=[N:12][C:13](=[O:14])[C:15](=[CH:16][c:17]3[cH:18][cH:19][c:20]4[c:21]([cH:22][n:23][n:24]4[CH2:25][c:26]4[cH:27][cH:28][c:29]([C:30]([F:31])([F:32])[F:33])[cH:34][c:35]4[C:36]([F:37])([F:38])[F:39])[cH:40]3)[S:41]2)[CH2:42]1
Cl[c:1]1[c:2]([N+:3](=[O:4])[O-:5])[cH:6][cH:7][cH:8][n:9]1.[NH2:10][c:11]1[cH:12][cH:13][cH:14][cH:15][c:16]1[C:17](=[O:18])[c:19]1[cH:20][cH:21][cH:22][c:23]([F:24])[cH:25]1,[c:1]1([NH:10][c:11]2[cH:12][cH:13][cH:14][cH:15][c:16]2[C:17](=[O:18])[c:19]2[cH:20][cH:21][cH:22][c:23]([F:24])[cH:25]2)[c:2]([N+:3](=[O:4])[O-:5])[cH:6][cH:7][cH:8][n:9]1
O[CH2:1][CH2:2][CH3:3].[O:4]=[C:5]([OH:6])[c:7]1[cH:8][c:9]([N+:10](=[O:11])[O-:12])[c:13]([Cl:14])[c:15]([N+:16](=[O:17])[O-:18])[cH:19]1,[CH2:1]([CH2:2][CH3:3])[O:6][C:5](=[O:4])[c:7]1[cH:8][c:9]([N+:10](=[O:11])[O-:12])[c:13]([Cl:14])[c:15]([N+:16](=[O:17])[O-:18])[cH:19]1
Cl[c:1]1[cH:2][cH:3][c:4]([C:5]([NH:6][CH3:7])=[O:8])[cH:9][n:10]1.[CH3:11][C:12]([CH3:13])([CH3:14])[O:15][C:16](=[O:17])[N:18]1[CH2:19][CH2:20][c:21]2[cH:22][c:23]([OH:24])[c:25]([I:26])[cH:27][c:28]2[CH2:29][CH2:30]1,[c:1]1([O:24][c:23]2[cH:22][c:21]3[c:28]([cH:27][c:25]2[I:26])[CH2:29][CH2:30][N:18]([C:16]([O:15][C:12]([CH3:11])([CH3:13])[CH3:14])=[O:17])[CH2:19][CH2:20]3)[cH:2][cH:3][c:4]([C:5]([NH:6][CH3:7])=[O:8])[cH:9][n:10]1
O=C1CCC(=O)N1[Br:1].[CH3:2][c:3]1[n:4][nH:5][c:6](=[O:7])[c:8]([C:9]([F:10])([F:11])[F:12])[cH:13]1,[Br:1][CH2:2][c:3]1[n:4][nH:5][c:6](=[O:7])[c:8]([C:9]([F:10])([F:11])[F:12])[cH:13]1
[CH2:1]=[CH:2][CH2:3][O:4][c:5]1[cH:6][cH:7][c:8]2[c:9]([cH:10]1)[CH2:11][c:12]1[c:13](-[c:14]3[cH:15][cH:16][c:17]([C:18]#[N:19])[cH:20][cH:21]3)[n:22][nH:23][c:24]1-2.[N-:25]=[N+:26]=[N-:27],[CH2:1]=[CH:2][CH2:3][O:4][c:5]1[cH:6][cH:7][c:8]2[c:9]([cH:10]1)[CH2:11][c:12]1[c:13](-[c:14]3[cH:15][cH:16][c:17](-[c:18]4[n:19][n:25][n:26][nH:27]4)[cH:20][cH:21]3)[n:22][nH:23][c:24]1-2
[OH:1][CH2:2][c:3]1[n:4][cH:5][cH:6][cH:7][c:8]1[OH:9],[OH:1][CH2:2][CH:3]1[NH:4][CH2:5][CH2:6][CH2:7][CH:8]1[OH:9]
Cl[C:1](=[O:2])[c:3]1[c:4]([F:5])[cH:6][cH:7][cH:8][c:9]1[F:10].[CH3:11][O:12][c:13]1[cH:14][cH:15][cH:16][c:17]([Cl:18])[c:19]1[Cl:20],[C:1](=[O:2])([c:3]1[c:4]([F:5])[cH:6][cH:7][cH:8][c:9]1[F:10])[c:16]1[cH:15][cH:14][c:13]([O:12][CH3:11])[c:19]([Cl:20])[c:17]1[Cl:18]
[CH3:1][CH2:2][CH2:3][N:4]=[C:5]=[O:6].[CH3:7][N:8]([C:9](=[O:10])[N:11]([CH3:12])[C@@H:13]1[CH2:14][NH:15][CH2:16][C@H:17]1[c:18]1[cH:19][cH:20][c:21]([F:22])[cH:23][cH:24]1)[c:25]1[cH:26][c:27]([C:28]([F:29])([F:30])[F:31])[cH:32][c:33]([C:34]([F:35])([F:36])[F:37])[cH:38]1,[CH3:1][CH2:2][CH2:3][NH:4][C:5](=[O:6])[N:15]1[CH2:14][C@@H:13]([N:11]([C:9]([N:8]([CH3:7])[c:25]2[cH:26][c:27]([C:28]([F:29])([F:30])[F:31])[cH:32][c:33]([C:34]([F:35])([F:36])[F:37])[cH:38]2)=[O:10])[CH3:12])[C@H:17]([c:18]2[cH:19][cH:20][c:21]([F:22])[cH:23][cH:24]2)[CH2:16]1
Cl[S:1]([c:2]1[c:3]([N+:4](=[O:5])[O-:6])[cH:7][cH:8][cH:9][cH:10]1)(=[O:11])=[O:12].[O:13]=[C:14]1[CH2:15][CH:16]2[CH2:17][O:18][CH2:19][CH:20]1[NH:21]2,[S:1]([c:2]1[c:3]([N+:4](=[O:5])[O-:6])[cH:7][cH:8][cH:9][cH:10]1)(=[O:11])(=[O:12])[N:21]1[CH:16]2[CH2:15][C:14](=[O:13])[CH:20]1[CH2:19][O:18][CH2:17]2
O[CH3:1].[O:2]=[N+:3]([O-:4])[c:5]1[cH:6][cH:7][n:8][c:9]([Cl:10])[c:11]1[OH:12],[CH3:1][O:12][c:11]1[c:5]([N+:3](=[O:2])[O-:4])[cH:6][cH:7][n:8][c:9]1[Cl:10]
Br[c:1]1[cH:2][cH:3][c:4]([CH:5]([O:6][CH3:7])[C:8](=[O:9])[NH:10][CH2:11][c:12]2[cH:13][cH:14][c:15]([C:16]#[N:17])[cH:18][cH:19]2)[c:20]([F:21])[cH:22]1.OB(O)[c:23]1[cH:24][cH:25][c:26]([O:27][CH3:28])[cH:29][cH:30]1,[c:1]1(-[c:23]2[cH:24][cH:25][c:26]([O:27][CH3:28])[cH:29][cH:30]2)[cH:2][cH:3][c:4]([CH:5]([O:6][CH3:7])[C:8](=[O:9])[NH:10][CH2:11][c:12]2[cH:13][cH:14][c:15]([C:16]#[N:17])[cH:18][cH:19]2)[c:20]([F:21])[cH:22]1
CCO[C:1](=[O:2])[c:3]1[cH:4][n:5][cH:6][c:7]2[c:8]([NH:9][c:10]3[cH:11][cH:12][c:13]([I:14])[cH:15][c:16]3[F:17])[c:18]([C:19](=[O:20])[N:21]([CH3:22])[CH3:23])[o:24][c:25]12,[CH2:1]([OH:2])[c:3]1[cH:4][n:5][cH:6][c:7]2[c:8]([NH:9][c:10]3[cH:11][cH:12][c:13]([I:14])[cH:15][c:16]3[F:17])[c:18]([C:19](=[O:20])[N:21]([CH3:22])[CH3:23])[o:24][c:25]12
Cl[c:1]1[cH:2][cH:3][c:4]([C:5]([F:6])([F:7])[F:8])[cH:9][n:10]1.[CH3:11][c:12]1[n:13][c:14]([C:15](=[O:16])[N:17]2[CH2:18][CH2:19][CH2:20][CH:21]([CH3:22])[CH:23]2[CH2:24][NH2:25])[c:26](-[c:27]2[cH:28][cH:29][c:30]([F:31])[cH:32][cH:33]2)[s:34]1,[c:1]1([NH:25][CH2:24][C@@H:23]2[N:17]([C:15]([c:14]3[n:13][c:12]([CH3:11])[s:34][c:26]3-[c:27]3[cH:28][cH:29][c:30]([F:31])[cH:32][cH:33]3)=[O:16])[CH2:18][CH2:19][CH2:20][C@@H:21]2[CH3:22])[cH:2][cH:3][c:4]([C:5]([F:6])([F:7])[F:8])[cH:9][n:10]1
CCO[C:1](=[O:2])[CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][C:9](=[O:10])[OH:11].[NH2:12][c:13]1[cH:14][c:15]([Cl:16])[cH:17][cH:18][c:19]1[OH:20],[C:1](=[O:2])([CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][C:9](=[O:10])[OH:11])[NH:12][c:13]1[cH:14][c:15]([Cl:16])[cH:17][cH:18][c:19]1[OH:20]
Br[CH2:1][c:2]1[cH:3][cH:4][c:5]([C:6]#[N:7])[cH:8][cH:9]1.[CH2:10]=[CH:11][CH2:12][O:13][c:14]1[cH:15][cH:16][cH:17][c:18]([O:19][c:20]2[cH:21][cH:22][c:23]([CH2:24][NH:25][c:26]3[cH:27][cH:28][cH:29][c:30]([N+:31](=[O:32])[O-:33])[c:34]3[CH3:35])[cH:36][cH:37]2)[cH:38]1,[CH2:1]([c:2]1[cH:3][cH:4][c:5]([C:6]#[N:7])[cH:8][cH:9]1)[N:25]([CH2:24][c:23]1[cH:22][cH:21][c:20]([O:19][c:18]2[cH:17][cH:16][cH:15][c:14]([O:13][CH2:12][CH:11]=[CH2:10])[cH:38]2)[cH:37][cH:36]1)[c:26]1[cH:27][cH:28][cH:29][c:30]([N+:31](=[O:32])[O-:33])[c:34]1[CH3:35]
O=[C:1]([c:2]1[cH:3][c:4]([CH3:5])[n:6][cH:7][cH:8]1)[CH2:9][C@H:10]([c:11]1[cH:12][cH:13][c:14]([CH:15]2[CH2:16][N:17]([C:18](=[O:19])[O:20][C:21]([CH3:22])([CH3:23])[CH3:24])[CH2:25]2)[cH:26][cH:27]1)[c:28]1[cH:29][cH:30][cH:31][cH:32][c:33]1[CH3:34].[NH2:35][OH:36],[C:1](\[c:2]1[cH:3][c:4]([CH3:5])[n:6][cH:7][cH:8]1)([CH2:9][C@H:10]([c:11]1[cH:12][cH:13][c:14]([CH:15]2[CH2:16][N:17]([C:18](=[O:19])[O:20][C:21]([CH3:22])([CH3:23])[CH3:24])[CH2:25]2)[cH:26][cH:27]1)[c:28]1[cH:29][cH:30][cH:31][cH:32][c:33]1[CH3:34])=[N:35]/[OH:36]
Cl[C:1]([c:2]1[cH:3][cH:4][c:5]([CH3:6])[cH:7][cH:8]1)=[O:9].[Cl:10][c:11]1[cH:12][cH:13][cH:14][cH:15][cH:16]1,[C:1]([c:2]1[cH:3][cH:4][c:5]([CH3:6])[cH:7][cH:8]1)(=[O:9])[c:14]1[cH:13][cH:12][c:11]([Cl:10])[cH:16][cH:15]1
Br[CH2:1][c:2]1[c:3]([Cl:4])[cH:5][cH:6][cH:7][c:8]1[Cl:9].[CH3:10][c:11]1[cH:12][cH:13][c:14]2[cH:15][cH:16][cH:17][c:18]([OH:19])[c:20]2[n:21]1,[CH2:1]([c:2]1[c:3]([Cl:4])[cH:5][cH:6][cH:7][c:8]1[Cl:9])[O:19][c:18]1[cH:17][cH:16][cH:15][c:14]2[cH:13][cH:12][c:11]([CH3:10])[n:21][c:20]21
Br[c:1]1[cH:2][cH:3][c:4]([C@H:5]([CH3:6])[N:7]2[CH2:8][CH2:9][C@:10]([CH2:11][C:12]3([OH:13])[CH2:14][CH2:15]3)([c:16]3[cH:17][cH:18][c:19]([F:20])[cH:21][cH:22]3)[O:23][C:24]2=[O:25])[cH:26][cH:27]1.OB(O)[c:28]1[cH:29][c:30]([CH3:31])[n:32][cH:33][cH:34]1,[c:1]1(-[c:28]2[cH:29][c:30]([CH3:31])[n:32][cH:33][cH:34]2)[cH:2][cH:3][c:4]([C@H:5]([CH3:6])[N:7]2[CH2:8][CH2:9][C@:10]([CH2:11][C:12]3([OH:13])[CH2:14][CH2:15]3)([c:16]3[cH:17][cH:18][c:19]([F:20])[cH:21][cH:22]3)[O:23][C:24]2=[O:25])[cH:26][cH:27]1
Br[c:1]1[c:2]2[n:3][n:4][c:5]([C:6]([NH:7][CH2:8][CH2:9][CH2:10][CH3:11])=[O:12])[c:13]([NH2:14])[c:15]2[cH:16][cH:17][cH:18]1.CC1(C)OB([c:19]2[cH:20][n:21][c:22]([O:23][CH3:24])[n:25][c:26]2[O:27][CH3:28])OC1(C)C,[c:1]1(-[c:19]2[cH:20][n:21][c:22]([O:23][CH3:24])[n:25][c:26]2[O:27][CH3:28])[c:2]2[n:3][n:4][c:5]([C:6]([NH:7][CH2:8][CH2:9][CH2:10][CH3:11])=[O:12])[c:13]([NH2:14])[c:15]2[cH:16][cH:17][cH:18]1
O=[C:1]([CH3:2])[CH3:3].[CH3:4][O:5][C:6](=[O:7])[c:8]1[c:9]([NH2:10])[cH:11][cH:12][cH:13][c:14]1[S:15](=[O:16])(=[O:17])[NH:18][C:19]([CH3:20])([CH3:21])[CH3:22],[CH:1]([CH3:2])([CH3:3])[NH:10][c:9]1[c:8]([C:6]([O:5][CH3:4])=[O:7])[c:14]([S:15](=[O:16])(=[O:17])[NH:18][C:19]([CH3:20])([CH3:21])[CH3:22])[cH:13][cH:12][cH:11]1
Cl[C:1](=[O:2])[O:3][CH2:4][c:5]1[cH:6][cH:7][cH:8][cH:9][cH:10]1.[CH3:11][CH2:12][O:13][C:14](=[O:15])[C@@H:16]1[CH2:17][C@H:18]([c:19]2[cH:20][cH:21][c:22]([O:23][CH3:24])[cH:25][cH:26]2)[C@@H:27]([OH:28])[CH2:29][NH:30]1,[C:1](=[O:2])([O:3][CH2:4][c:5]1[cH:6][cH:7][cH:8][cH:9][cH:10]1)[N:30]1[C@H:16]([C:14]([O:13][CH2:12][CH3:11])=[O:15])[CH2:17][C@H:18]([c:19]2[cH:20][cH:21][c:22]([O:23][CH3:24])[cH:25][cH:26]2)[C@@H:27]([OH:28])[CH2:29]1
c1ccc(C[O:1][c:2]2[cH:3][c:4]3[cH:5][c:6](-[c:7]4[cH:8][cH:9][cH:10][c:11]([C:12]([O:13][CH2:14][CH3:15])=[O:16])[cH:17]4)[n:18]([C:19](=[O:20])[O:21][C:22]([CH3:23])([CH3:24])[CH3:25])[c:26]3[cH:27][cH:28]2)cc1,[OH:1][c:2]1[cH:3][c:4]2[cH:5][c:6](-[c:7]3[cH:8][cH:9][cH:10][c:11]([C:12]([O:13][CH2:14][CH3:15])=[O:16])[cH:17]3)[n:18]([C:19](=[O:20])[O:21][C:22]([CH3:23])([CH3:24])[CH3:25])[c:26]2[cH:27][cH:28]1
O=[N+:1]([O-])[c:2]1[cH:3][c:4]([Si:5]([CH3:6])([CH3:7])[CH3:8])[cH:9][c:10]([Si:11]([CH3:12])([CH3:13])[CH3:14])[cH:15]1,[NH2:1][c:2]1[cH:3][c:4]([Si:5]([CH3:6])([CH3:7])[CH3:8])[cH:9][c:10]([Si:11]([CH3:12])([CH3:13])[CH3:14])[cH:15]1
Br[c:1]1[cH:2][n:3][c:4]([NH:5][CH2:6][c:7]2[cH:8][cH:9][n:10][cH:11][cH:12]2)[n:13][c:14]1[NH:15][CH:16]1[CH2:17][CH2:18][N:19]([CH2:20][c:21]2[cH:22][cH:23][cH:24][cH:25][cH:26]2)[CH2:27][CH2:28]1.OB(O)[c:29]1[cH:30][cH:31][c:32]([Cl:33])[cH:34][cH:35]1,[c:1]1(-[c:29]2[cH:30][cH:31][c:32]([Cl:33])[cH:34][cH:35]2)[cH:2][n:3][c:4]([NH:5][CH2:6][c:7]2[cH:8][cH:9][n:10][cH:11][cH:12]2)[n:13][c:14]1[NH:15][CH:16]1[CH2:17][CH2:18][N:19]([CH2:20][c:21]2[cH:22][cH:23][cH:24][cH:25][cH:26]2)[CH2:27][CH2:28]1
C[O:1][C:2]([CH:3]([NH:4][C:5]1=[C:6]([Cl:7])[C:8](=[O:9])[CH2:10][CH:11]([CH2:12][CH2:13][CH3:14])[CH2:15]1)[CH2:16][c:17]1[cH:18][cH:19][c:20]2[c:21]([cH:22]1)[CH2:23][CH2:24][N:25]2[C:26](=[O:27])[c:28]1[c:29]([Cl:30])[cH:31][n:32][cH:33][c:34]1[Cl:35])=[O:36],[OH:1][C:2]([CH:3]([NH:4][C:5]1=[C:6]([Cl:7])[C:8](=[O:9])[CH2:10][CH:11]([CH2:12][CH2:13][CH3:14])[CH2:15]1)[CH2:16][c:17]1[cH:18][cH:19][c:20]2[c:21]([cH:22]1)[CH2:23][CH2:24][N:25]2[C:26](=[O:27])[c:28]1[c:29]([Cl:30])[cH:31][n:32][cH:33][c:34]1[Cl:35])=[O:36]
F[c:1]1[c:2]([C:3](=[O:4])[OH:5])[cH:6][cH:7][c:8]([F:9])[c:10]1[F:11].[CH3:12][Si:13]([CH3:14])([CH3:15])[C:16]#[C:17][c:18]1[cH:19][cH:20][c:21]([NH2:22])[c:23]([F:24])[cH:25]1,[c:1]1([NH:22][c:21]2[cH:20][cH:19][c:18]([C:17]#[C:16][Si:13]([CH3:12])([CH3:14])[CH3:15])[cH:25][c:23]2[F:24])[c:2]([C:3](=[O:4])[OH:5])[cH:6][cH:7][c:8]([F:9])[c:10]1[F:11]
O[C@@H:1]([CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH3:7])[CH3:8].[CH3:9][c:10]1[cH:11][cH:12][c:13]([OH:14])[cH:15][c:16]1[N+:17](=[O:18])[O-:19],[C@@H:1]([CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH3:7])([CH3:8])[O:14][c:13]1[cH:12][cH:11][c:10]([CH3:9])[c:16]([N+:17](=[O:18])[O-:19])[cH:15]1
F[c:1]1[cH:2][cH:3][c:4]([Br:5])[cH:6][n:7]1.[OH:8][c:9]1[cH:10][cH:11][c:12]([O:13][c:14]2[cH:15][cH:16][cH:17][cH:18][cH:19]2)[cH:20][cH:21]1,[c:1]1([O:8][c:9]2[cH:10][cH:11][c:12]([O:13][c:14]3[cH:15][cH:16][cH:17][cH:18][cH:19]3)[cH:20][cH:21]2)[cH:2][cH:3][c:4]([Br:5])[cH:6][n:7]1
Br[C:1](=[O:2])[CH2:3][Br:4].[CH3:5][CH2:6][O:7][C:8](=[O:9])[C:10]1([C:11](=[O:12])[O:13][CH2:14][CH3:15])[CH2:16][CH2:17][CH2:18][NH:19]1,[C:1](=[O:2])([CH2:3][Br:4])[N:19]1[C:10]([C:8]([O:7][CH2:6][CH3:5])=[O:9])([C:11](=[O:12])[O:13][CH2:14][CH3:15])[CH2:16][CH2:17][CH2:18]1
Cl[CH2:1][C:2](=[O:3])[NH:4][c:5]1[cH:6][c:7]([OH:8])[cH:9][cH:10][c:11]1[OH:12],[CH2:1]1[C:2](=[O:3])[NH:4][c:5]2[cH:6][c:7]([OH:8])[cH:9][cH:10][c:11]2[O:12]1
[CH3:1][O:2][C:3](=[O:4])[CH:5]([CH3:6])[c:7]1[cH:8][cH:9][cH:10][c:11]([C:12](=[O:13])[c:14]2[cH:15][cH:16][cH:17][cH:18][cH:19]2)[cH:20]1,[CH3:1][O:2][C:3](=[O:4])[CH:5]([CH3:6])[c:7]1[cH:8][cH:9][cH:10][c:11]([CH:12]([OH:13])[c:14]2[cH:15][cH:16][cH:17][cH:18][cH:19]2)[cH:20]1
C[O:1][C:2](=[O:3])[c:4]1[cH:5][c:6]2[cH:7][c:8]([S:9](=[O:10])(=[O:11])[N:12]([CH3:13])[CH3:14])[c:15]([Cl:16])[c:17]([Cl:18])[c:19]2[o:20]1,[OH:1][C:2](=[O:3])[c:4]1[cH:5][c:6]2[cH:7][c:8]([S:9](=[O:10])(=[O:11])[N:12]([CH3:13])[CH3:14])[c:15]([Cl:16])[c:17]([Cl:18])[c:19]2[o:20]1
Br[CH2:1][C:2]([NH2:3])=[O:4].[Cl:5][c:6]1[cH:7][cH:8][c:9](-[c:10]2[n:11][n:12]([CH2:13][c:14]3[cH:15][cH:16][cH:17][cH:18][cH:19]3)[c:20]3[c:21]2[CH2:22][CH2:23][NH:24][CH2:25][CH2:26]3)[cH:27][cH:28]1,[CH2:1]([C:2]([NH2:3])=[O:4])[N:24]1[CH2:23][CH2:22][c:21]2[c:10](-[c:9]3[cH:8][cH:7][c:6]([Cl:5])[cH:28][cH:27]3)[n:11][n:12]([CH2:13][c:14]3[cH:15][cH:16][cH:17][cH:18][cH:19]3)[c:20]2[CH2:26][CH2:25]1
Cl[S:1](=[O:2])(=[O:3])[c:4]1[cH:5][cH:6][c:7]([Br:8])[cH:9][cH:10]1.[CH3:11][O:12][C:13](=[O:14])[CH:15]1[CH2:16][N:17]([C:18](=[O:19])[O:20][C:21]([CH3:22])([CH3:23])[CH3:24])[CH2:25][CH2:26][NH:27]1,[S:1](=[O:2])(=[O:3])([c:4]1[cH:5][cH:6][c:7]([Br:8])[cH:9][cH:10]1)[N:27]1[CH:15]([C:13]([O:12][CH3:11])=[O:14])[CH2:16][N:17]([C:18](=[O:19])[O:20][C:21]([CH3:22])([CH3:23])[CH3:24])[CH2:25][CH2:26]1
Br[c:1]1[c:2]([O:3][CH3:4])[cH:5][c:6]2[n:7][cH:8][c:9]([NH:10][CH:11]3[CH2:12][CH2:13][CH2:14][CH2:15][CH2:16]3)[n:17][c:18]2[cH:19]1.[CH2:20]1[CH2:21][O:22][CH2:23][CH2:24][NH:25]1,[c:1]1([N:25]2[CH2:20][CH2:21][O:22][CH2:23][CH2:24]2)[c:2]([O:3][CH3:4])[cH:5][c:6]2[n:7][cH:8][c:9]([NH:10][CH:11]3[CH2:12][CH2:13][CH2:14][CH2:15][CH2:16]3)[n:17][c:18]2[cH:19]1
O=[CH:1][C:2]([c:3]1[n:4]([CH3:5])[c:6](-[c:7]2[cH:8][cH:9][cH:10][cH:11][c:12]2[Cl:13])[n:14][n:15]1)([CH3:16])[CH3:17].c1ccc([P+](c2ccccc2)(c2ccccc2)[CH2:18][c:19]2[cH:20][cH:21][cH:22][cH:23][cH:24]2)cc1,[CH:1](\[C:2]([c:3]1[n:4]([CH3:5])[c:6](-[c:7]2[cH:8][cH:9][cH:10][cH:11][c:12]2[Cl:13])[n:14][n:15]1)([CH3:16])[CH3:17])=[CH:18]/[c:19]1[cH:20][cH:21][cH:22][cH:23][cH:24]1
CC(C)(C)[Si](C)(C)[O:1][CH2:2][c:3]1[n:4][c:5]([C:6]2([NH:7][S@@:8]([C:9]([CH3:10])([CH3:11])[CH3:12])=[O:13])[CH2:14][CH2:15][O:16][CH2:17][CH2:18]2)[s:19][cH:20]1,[OH:1][CH2:2][c:3]1[n:4][c:5]([C:6]2([NH:7][S@@:8]([C:9]([CH3:10])([CH3:11])[CH3:12])=[O:13])[CH2:14][CH2:15][O:16][CH2:17][CH2:18]2)[s:19][cH:20]1
CCO[C:1](=[O:2])[c:3]1[cH:4][c:5](-[c:6]2[cH:7][n:8][cH:9][c:10]([F:11])[cH:12]2)[cH:13][c:14]([CH3:15])[n:16]1.[NH2:17][c:18]1[cH:19][cH:20][c:21]([F:22])[cH:23][cH:24]1,[C:1](=[O:2])([c:3]1[cH:4][c:5](-[c:6]2[cH:7][n:8][cH:9][c:10]([F:11])[cH:12]2)[cH:13][c:14]([CH3:15])[n:16]1)[NH:17][c:18]1[cH:19][cH:20][c:21]([F:22])[cH:23][cH:24]1
Cl[CH2:1][CH:2]=[CH:3][Cl:4].[CH3:5][CH2:6][NH:7][CH2:8][c:9]1[cH:10][cH:11][cH:12][c:13]([OH:14])[cH:15]1,[CH2:1](/[CH:2]=[CH:3]/[Cl:4])[N:7]([CH2:6][CH3:5])[CH2:8][c:9]1[cH:10][cH:11][cH:12][c:13]([OH:14])[cH:15]1
Cl[C:1]([CH3:2])=[O:3].[CH3:4][O:5][c:6]1[cH:7][cH:8][c:9](-[c:10]2[cH:11][cH:12][c:13]3[n:14][cH:15][n:16][c:17](-[c:18]4[cH:19][cH:20][cH:21][c:22]([C:23](=[O:24])[N:25]5[CH2:26][CH2:27][NH:28][C:29]([CH3:30])([CH3:31])[CH2:32]5)[cH:33]4)[c:34]3[cH:35]2)[cH:36][n:37]1,[C:1]([CH3:2])(=[O:3])[N:28]1[CH2:27][CH2:26][N:25]([C:23]([c:22]2[cH:21][cH:20][cH:19][c:18](-[c:17]3[n:16][cH:15][n:14][c:13]4[cH:12][cH:11][c:10](-[c:9]5[cH:8][cH:7][c:6]([O:5][CH3:4])[n:37][cH:36]5)[cH:35][c:34]43)[cH:33]2)=[O:24])[CH2:32][C:29]1([CH3:30])[CH3:31]
I[CH3:1].[OH:2][c:3]1[c:4]([Br:5])[cH:6][c:7]([S:8]([F:9])([F:10])([F:11])([F:12])[F:13])[cH:14][c:15]1[Br:16],[CH3:1][O:2][c:3]1[c:4]([Br:5])[cH:6][c:7]([S:8]([F:9])([F:10])([F:11])([F:12])[F:13])[cH:14][c:15]1[Br:16]
Br[c:1]1[c:2](=[O:3])[c:4]2[c:5](-[c:6]3[c:7]([CH3:8])[cH:9][c:10]([CH3:11])[cH:12][c:13]3[CH3:14])[cH:15][cH:16][cH:17][c:18]2[n:19]([CH2:20][c:21]2[cH:22][cH:23][cH:24][cH:25][cH:26]2)[cH:27]1.OB(O)[CH3:28],[c:1]1([CH3:28])[c:2](=[O:3])[c:4]2[c:5](-[c:6]3[c:7]([CH3:8])[cH:9][c:10]([CH3:11])[cH:12][c:13]3[CH3:14])[cH:15][cH:16][cH:17][c:18]2[n:19]([CH2:20][c:21]2[cH:22][cH:23][cH:24][cH:25][cH:26]2)[cH:27]1
